data,positivi,negativi,totale_contagiato
03-02-2022,39,23,457
02-02-2022,29,29,425
01-02-2022,44,25,425
31-01-2022,14,10,406
30-01-2022,31,6,402
29-01-2022,44,38,377
28-01-2022,29,14,371
27-01-2022,29,21,356
26-01-2022,48,15,348
25-01-2022,36,14,315
24-01-2022,14,5,293
23-01-2022,35,1,284
22-01-2022,19,17,250
21-01-2022,23,9,248
20-01-2022,31,4,234
19-01-2022,29,43,207
18-01-2022,32,10,221
17-01-2022,18,2,199
16-01-2022,22,2,183
15-01-2022,16,18,163
14-01-2022,15,3,165
13-01-2022,13,4,153
12-01-2022,9,4,144
11-01-2022,22,3,139
10-01-2022,10,3,120
09-01-2022,13,1,113
08-01-2022,18,7,101
07-01-2022,16,1,90
06-01-2022,15,5,75
05-01-2022,14,2,65
04-01-2022,2,0,53
03-01-2022,1,1,51
02-01-2022,3,0,51
01-01-2022,3,3,48
31-12-2021,6,5,48
30-12-2021,1,1,47
29-12-2021,10,0,47
28-12-2021,9,0,37
27-12-2021,0,1,28
26-12-2021,1,0,29
25-12-2021,2,0,28
24-12-2021,1,4,26
23-12-2021,4,0,29
22-12-2021,2,0,25
21-12-2021,3,3,23
20-12-2021,1,0,23
19-12-2021,2,0,22
18-12-2021,2,5,20
17-12-2021,0,2,23
16-12-2021,1,8,25
14-12-2021,1,2,32
12-12-2021,0,2,33
11-12-2021,0,2,35
10-12-2021,0,2,37
08-12-2021,0,3,39
07-12-2021,1,4,42
06-12-2021,5,1,45
04-12-2021,1,0,41
03-12-2021,2,2,40
02-12-2021,3,0,40
01-12-2021,5,0,37
29-11-2021,1,0,32
28-11-2021,5,0,32
27-11-2021,1,6,27
26-11-2021,3,0,32
25-11-2021,4,0,29
24-11-2021,3,1,26
23-11-2021,5,1,24
21-11-2021,3,0,20
20-11-2021,0,3,17
19-11-2021,1,3,20
17-11-2021,0,1,22
14-11-2021,2,0,23
13-11-2021,0,1,21
12-11-2021,2,0,22
11-11-2021,1,0,10
10-11-2021,1,0,19
09-11-2021,4,0,18
06-11-2021,1,0,15
05-11-2021,1,0,14
04-11-2021,2,0,13
03-11-2021,2,0,11
01-11-2021,2,0,9
30-10-2021,2,1,7
29-10-2021,4,0,6
28-10-2021,1,0,2
19-10-2021,0,1,1
14-10-2021,0,1,2
04-10-2021,0,1,3
01-10-2021,1,1,4
30-09-2021,0,1,4
29-09-2021,0,2,5
28-09-2021,0,5,7
27-09-2021,0,2,11
25-09-2021,0,1,13
22-09-2021,0,1,14
21-09-2021,1,1,15
20-09-2021,0,1,15
18-09-2021,2,1,16
17-09-2021,0,1,15
16-09-2021,1,1,16
15-09-2021,0,4,16
13-09-2021,1,0,20
07-09-2021,0,2,19
04-09-2021,1,2,21
03-09-2021,5,0,22
02-09-2021,1,0,17
01-09-2021,4,4,16
31-08-2021,3,6,16
30-08-2021,1,0,18
29-08-2021,0,1,17
27-08-2021,1,0,18
26-08-2021,0,5,17
25-08-2021,0,1,22
24-08-2021,2,1,22
23-08-2021,2,1,21
21-08-2021,0,1,20
20-08-2021,2,0,21
19-08-2021,3,2,19
18-08-2021,2,2,18
17-08-2021,2,0,18
13-08-2021,3,1,16
12-08-2021,1,0,14
11-08-2021,1,0,13
10-08-2021,2,1,12
06-08-2021,1,4,11
05-08-2021,1,3,10
03-08-2021,1,0,16
01-08-2021,1,0,15
31-07-2021,1,0,14
28-07-2021,2,0,12
27-07-2021,1,0,10
25-07-2021,2,0,8
24-07-2021,4,0,6
23-07-2021,1,0,NULL
